#	sentenceHe	sentenceRu	fileName	voice
1	אֲנִי רוֹצֶה מַיִם קָרִים.	Я хочу холодную воду.	s_43a3f467d43b.mp3	male
2	אֶתְמוֹל רָצִיתִי קָפֶה.	Вчера я хотел кофе.	s_0f3a3929d039.mp3	male
3	הוּא שׁוֹתֶה תֵּה בַּבֹּקֶר.	Он пьёт чай утром.	s_452c0ecb28cd.mp3	male
4	אֶתְמוֹל שָׁתִיתִי מִיץ.	Вчера я пил сок.	s_aec04a99dab9.mp3	male
5	אֲנִי אוֹכֵל לֶחֶם וּגְבִינָה.	Я ем хлеб и сыр.	s_24be46eef63b.mp3	male
6	הוּא אָכַל בַּבַּיִת.	Он ел дома.	s_ecebf5bfeb71.mp3	male
7	דָּוִד הוֹלֵךְ לָאוּלְפָּן.	Давид идёт в ульпан.	s_91be08f55a95.mp3	male
8	אֶתְמוֹל הָלַכְתִּי לַעֲבוֹדָה.	Вчера я ходил на работу.	s_2059caa017cd.mp3	male
9	הִיא כּוֹתֶבֶת מִכְתָּב לְאִמָּא.	Она пишет письмо маме.	s_02c4eb2e0026.mp3	female
10	כָּתַבְתִּי הוֹדָעָה קְצָרָה.	Я написал короткое сообщение.	s_f4c33af40c1b.mp3	male
11	אֲנִי קוֹרֵא סֵפֶר בָּעֶרֶב.	Я читаю книгу вечером.	s_8f08c6e2916e.mp3	male
12	הוּא קָרָא אֶת הַחֲדָשׁוֹת.	Он прочитал новости.	s_a8f7f47e399c.mp3	female
13	אֲנַחְנוּ לוֹמְדִים עִבְרִית בָּאוּלְפָּן.	Мы учим иврит в ульпане.	s_93cd4799f910.mp3	male
14	לָמַדְתִּי מִלִּים חֲדָשׁוֹת.	Я учил новые слова.	s_0bf2f9eac5f4.mp3	male
15	דָּנִיאֵל גָּר בִּירוּשָׁלַיִם.	Даниэль живёт в Иерусалиме.	s_e3b859706ba3.mp3	male
16	גַּרְתִּי בְּחֵיפָה שָׁנָה.	Я жил в Хайфе год.	s_53ca6edb0173.mp3	male
17	הִיא קוֹנָה פֵּרוֹת בַּשּׁוּק.	Она покупает фрукты на рынке.	s_1b2678da3913.mp3	female
18	אֶתְמוֹל קָנִיתִי חָלָב.	Вчера я купил молоко.	s_0a8b1904937a.mp3	male
19	הוּא עוֹבֵד בְּמִשְׂרָד.	Он работает в офисе.	s_e1ed38018338.mp3	male
20	עָבַדְתִּי כָּל הַיּוֹם.	Я работал весь день.	s_6a867d61f536.mp3	male
21	אַתָּה יוֹדֵעַ אֶת הַתְּשׁוּבָה?	Ты знаешь ответ?	s_2a9337de731b.mp3	male
22	לֹא יָדַעְתִּי אֶת זֶה.	Я не знал этого.	s_7de587b2f86e.mp3	female
23	אֲנִי רוֹאֶה אֶת הַיָּם.	Я вижу море.	s_0378a97bbdc2.mp3	male
24	רָאִיתִי אֶת הַחֲבֵר בָּרְחוֹב.	Я видел друга на улице.	s_1e5082717c0d.mp3	female
25	הִיא בָּאָה לַבַּיִת עַכְשָׁיו.	Она приходит домой сейчас.	s_37f0616d2d56.mp3	female
26	דָּוִד בָּא אֶתְמוֹל לָאוּלְפָּן.	Давид пришёл вчера в ульпан.	s_96d96009a641.mp3	male
27	מָה אַתָּה עוֹשֶׂה הַיּוֹם?	Что ты делаешь сегодня?	s_bc9b033910f6.mp3	male
28	עָשִׂיתִי שִׁעוּרֵי בַּיִת.	Я сделал домашнее задание.	s_2d896262efd5.mp3	male
29	אֲנִי שׁוֹמֵעַ מוּזִיקָה.	Я слушаю музыку.	s_ae79c0e63003.mp3	male
30	שָׁמַעְתִּי אֶת הַשִּׁיר הַזֶּה.	Я слышал эту песню.	s_e3159308167e.mp3	female
31	הוּא פּוֹגֵשׁ אֶת הַחֲבֵר.	Он встречает друга.	s_a83fc20adc95.mp3	female
32	פָּגַשְׁתִּי אוֹתוֹ בַּבֹּקֶר.	Я встретил его утром.	s_d5bf692e2513.mp3	male
33	הוּא פּוֹתֵחַ אֶת הַדֶּלֶת.	Он открывает дверь.	s_2bc00328324f.mp3	female
34	פָּתַחְתִּי אֶת הַחַלּוֹן.	Я открыл окно.	s_b8557def0a6a.mp3	female
35	הוּא סוֹגֵר אֶת הַחַלּוֹן.	Он закрывает окно.	s_eac573c83a5f.mp3	female
36	סָגַרְתִּי אֶת הַדֶּלֶת.	Я закрыл дверь.	s_ff23d5daab5a.mp3	female
37	אֲנַחְנוּ יוֹשְׁבִים בְּבֵית קָפֶה.	Мы сидим в кафе.	s_7c1fc7f5afad.mp3	male
38	יָשַׁבְתִּי עַל הַכִּסֵּא.	Я сидел на стуле.	s_7f7a6a099ef0.mp3	male
39	הוּא עוֹמֵד לְיַד הַתַּחֲנָה.	Он стоит возле остановки.	s_cb275df8b774.mp3	male
40	עָמַדְתִּי בַּתּוֹר בַּסּוּפֶּר.	Я стоял в очереди в супермаркете.	s_cf946eeba1d3.mp3	male
41	אֲנִי לוֹקֵחַ תַּפּוּחַ וּמַיִם.	Я беру яблоко и воду.	s_70c378803429.mp3	male
42	לָקַחְתִּי אֶת הַמַּפְתֵּחַ.	Я взял ключ.	s_2dec5903941d.mp3	female
43	הִיא נוֹתֶנֶת מַתָּנָה לַחֲבֵר.	Она дарит подарок другу.	s_74b534123bc3.mp3	female
44	נָתַתִּי לוֹ אֶת הַסֵּפֶר.	Я дал ему книгу.	s_31df35d6381c.mp3	female
